ipaddress,assignment_id,experiment_id,visibility,hit_id,worker_id,NumAns,TimeStarted,AnswerChosen,AnswerOrder,end_time,status,QNum,survey_code,Score,nb,all_nb,all_nt,nt,TimeInArray_0,TimeOutArray_0,TimeInArray_1,TimeOutArray_1,TimeInArray_2,TimeOutArray_2,TimeInArray_3,TimeOutArray_3,TimeInArray_4,TimeOurArray_4,TimeInArray_5,TimeOutArray_5,TimeInArray_6,TimeOutArray_6,TimeInArray_7,TimeOutArray_7,survey_codes,TimeInArray8,TimeOutArray8,TimeOutArray4,TimeOutArray_4,RandQ,Guess,GuessAnswers,
,92414,,,,,2,20190828012048,,,,,8,840004,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,1,
,92415,,,,,2,20190828012049,,,,,9,840004,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,1,
,92416,,,,,2,20190828012050,,,,,10,840004,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,1,
,92417,,,,,,,,,20190828012054,submitted,,840004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.9.184.216,92418,,random,,,,,,,,,,349616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92419,,random,,,,,,,,,,349616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92420,,,,,2,20190828170955,,,,,1,349616,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
,92421,,,,,2,20190828171001,,,,,2,349616,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,
,92422,,,,,2,20190828171003,,,,,3,349616,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,
,92423,,,,,2,20190828171004,,,,,4,349616,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,1,
,92424,,,,,2,20190828171006,,,,,5,349616,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,1,
,92425,,,,,2,20190828171007,,,,,6,349616,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,1,
,92426,,,,,2,20190828171009,,,,,7,349616,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,1,
,92427,,,,,2,20190828171010,,,,,8,349616,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,
,92428,,,,,2,20190828171011,,,,,9,349616,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,1,
,92429,,,,,2,20190828171013,,,,,10,349616,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,1,
,92430,,,,,,,,,20190828171021,submitted,,349616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.9.184.216,92431,,random,,,,,,,,,,3126396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92432,,random,,,,,,,,,,3126396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92433,,,,,2,20190828171153,,,,,1,3126396,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
,92434,,,,,2,20190828171157,,,,,2,3126396,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,
,92435,,,,,2,20190828171158,,,,,3,3126396,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,1,
,92436,,,,,2,20190828171200,,,,,4,3126396,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,1,
,92437,,,,,2,20190828171201,,,,,5,3126396,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,1,
,92438,,,,,2,20190828171203,,,,,6,3126396,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,1,
,92439,,,,,2,20190828171204,,,,,7,3126396,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,
,92440,,,,,2,20190828171206,,,,,8,3126396,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,1,
,92441,,,,,2,20190828171207,,,,,9,3126396,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,1,
,92442,,,,,2,20190828171210,,,,,10,3126396,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,1,
,92443,,,,,,,,,20190828171212,submitted,,3126396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.117.200.134,92444,,random,,,,,,,,,,2989723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92445,,random,,,,,,,,,,2989723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92446,,,,,2,20190829055600,,,,,1,2989723,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.2,1,
,92447,,,,,2,20190829055620,,,,,2,2989723,,,,,,,,,,,,,,,,,,,,,,,,,,,6,234,1,
,92448,,,,,2,20190829055630,,,,,3,2989723,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,
,92449,,,,,2,20190829055636,,,,,4,2989723,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,
,92450,,,,,2,20190829055643,,,,,5,2989723,,,,,,,,,,,,,,,,,,,,,,,,,,,5,47,1,
,92451,,,,,2,20190829055652,,,,,6,2989723,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1000,1,
,92452,,,,,2,20190829055659,,,,,7,2989723,,,,,,,,,,,,,,,,,,,,,,,,,,,7,150,1,
,92453,,,,,2,20190829055708,,,,,8,2989723,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.4,1,
,92454,,,,,2,20190829055718,,,,,9,2989723,,,,,,,,,,,,,,,,,,,,,,,,,,,10,30,1,
,92455,,,,,2,20190829055724,,,,,10,2989723,,,,,,,,,,,,,,,,,,,,,,,,,,,8,204,1,
,92456,,,,,,,,,20190829055730,submitted,,2989723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.82.60.190,92457,,random,,,,,,,,,,6527577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92458,,random,,,,,,,,,,6527577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92459,,,,,2,20190829060002,,,,,1,6527577,,,,,,,,,,,,,,,,,,,,,,,,,,,9,200,1,
,92460,,,,,2,20190829060014,,,,,2,6527577,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,
,92461,,,,,2,20190829060022,,,,,3,6527577,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,
,92462,,,,,2,20190829060029,,,,,4,6527577,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,
,92463,,,,,2,20190829060037,,,,,5,6527577,,,,,,,,,,,,,,,,,,,,,,,,,,,10,122,1,
,92464,,,,,2,20190829060046,,,,,6,6527577,,,,,,,,,,,,,,,,,,,,,,,,,,,5,27,1,
,92465,,,,,2,20190829060055,,,,,7,6527577,,,,,,,,,,,,,,,,,,,,,,,,,,,6,166,1,
,92466,,,,,2,20190829060107,,,,,8,6527577,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,
,92467,,,,,2,20190829060113,,,,,9,6527577,,,,,,,,,,,,,,,,,,,,,,,,,,,7,300,1,
,92468,,,,,2,20190829060119,,,,,10,6527577,,,,,,,,,,,,,,,,,,,,,,,,,,,8,200,1,
,92469,,,,,,,,,20190829060129,submitted,,6527577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171.49.185.216,92470,,random,,,,,,,,,,9498382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92471,,random,,,,,,,,,,9498382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92472,,,,,2,20190829055957,,,,,1,9498382,,,,,,,,,,,,,,,,,,,,,,,,,,,10,25,1,
,92473,,,,,2,20190829060051,,,,,2,9498382,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,
,92474,,,,,2,20190829060055,,,,,3,9498382,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,
,92475,,,,,2,20190829060059,,,,,4,9498382,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,
,92476,,,,,2,20190829060104,,,,,5,9498382,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,
,92477,,,,,2,20190829060114,,,,,6,9498382,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,
,92478,,,,,2,20190829060122,,,,,7,9498382,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,1,
,92479,,,,,2,20190829060125,,,,,8,9498382,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,
,92480,,,,,2,20190829060130,,,,,9,9498382,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,1,
,92481,,,,,2,20190829060133,,,,,10,9498382,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,1,
,92482,,,,,,,,,20190829060137,submitted,,9498382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.52.130.236,92483,,random,,,,,,,,,,6546207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92484,,random,,,,,,,,,,6546207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92485,,,,,2,20190829060000,,,,,1,6546207,,,,,,,,,,,,,,,,,,,,,,,,,,,8,272,1,
,92486,,,,,2,20190829060013,,,,,2,6546207,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1945,1,
,92487,,,,,2,20190829060022,,,,,3,6546207,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.19,1,
,92488,,,,,2,20190829060037,,,,,4,6546207,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.45,1,
,92489,,,,,2,20190829060042,,,,,5,6546207,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.23,1,
,92490,,,,,2,20190829060055,,,,,6,6546207,,,,,,,,,,,,,,,,,,,,,,,,,,,7,112,1,
,92491,,,,,2,20190829060103,,,,,7,6546207,,,,,,,,,,,,,,,,,,,,,,,,,,,5,29,1,
,92492,,,,,2,20190829060201,,,,,8,6546207,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.3,1,
,92493,,,,,2,20190829060211,,,,,9,6546207,,,,,,,,,,,,,,,,,,,,,,,,,,,9,945,1,
,92494,,,,,2,20190829060218,,,,,10,6546207,,,,,,,,,,,,,,,,,,,,,,,,,,,6,301,1,
,92495,,,,,,,,,20190829060228,submitted,,6546207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171.49.165.244,92496,,random,,,,,,,,,,7779703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92497,,random,,,,,,,,,,7779703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92498,,,,,2,20190829060018,,,,,1,7779703,,,,,,,,,,,,,,,,,,,,,,,,,,,10,500,1,
,92499,,,,,2,20190829060044,,,,,2,7779703,,,,,,,,,,,,,,,,,,,,,,,,,,,5,60,1,
,92500,,,,,2,20190829060103,,,,,3,7779703,,,,,,,,,,,,,,,,,,,,,,,,,,,8,400,1,
,92501,,,,,2,20190829060117,,,,,4,7779703,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1000,1,
,92502,,,,,2,20190829060137,,,,,5,7779703,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2500,1,
,92503,,,,,2,20190829060144,,,,,6,7779703,,,,,,,,,,,,,,,,,,,,,,,,,,,6,600,1,
,92504,,,,,2,20190829060151,,,,,7,7779703,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,
,92505,,,,,2,20190829060217,,,,,8,7779703,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,
,92506,,,,,2,20190829060238,,,,,9,7779703,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,
,92507,,,,,2,20190829060243,,,,,10,7779703,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,
,92508,,,,,,,,,20190829060302,submitted,,7779703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.144.110.226,92509,,random,,,,,,,,,,3443125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92510,,random,,,,,,,,,,3443125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92511,,,,,2,20190829060036,,,,,1,3443125,,,,,,,,,,,,,,,,,,,,,,,,,,,8,350,1,
,92512,,,,,2,20190829060101,,,,,2,3443125,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,
,92513,,,,,2,20190829060129,,,,,3,3443125,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,1,
,92514,,,,,2,20190829060138,,,,,4,3443125,,,,,,,,,,,,,,,,,,,,,,,,,,,5,80,1,
,92515,,,,,2,20190829060206,,,,,5,3443125,,,,,,,,,,,,,,,,,,,,,,,,,,,9,800,1,
,92516,,,,,2,20190829060227,,,,,6,3443125,,,,,,,,,,,,,,,,,,,,,,,,,,,6,300,1,
,92517,,,,,2,20190829060244,,,,,7,3443125,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,
,92518,,,,,2,20190829060253,,,,,8,3443125,,,,,,,,,,,,,,,,,,,,,,,,,,,7,120,1,
,92519,,,,,2,20190829060310,,,,,9,3443125,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,
,92520,,,,,2,20190829060318,,,,,10,3443125,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200,1,
,92521,,,,,,,,,20190829060334,submitted,,3443125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208.38.252.98,92522,,random,,,,,,,,,,3939236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92523,,random,,,,,,,,,,3939236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92524,,,,,2,20190829060114,,,,,1,3939236,,,,,,,,,,,,,,,,,,,,,,,,,,,6,400,1,
,92525,,,,,2,20190829060132,,,,,2,3939236,,,,,,,,,,,,,,,,,,,,,,,,,,,7,500,1,
,92526,,,,,2,20190829060142,,,,,3,3939236,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.3,1,
,92527,,,,,2,20190829060205,,,,,4,3939236,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,
,92528,,,,,2,20190829060215,,,,,5,3939236,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,1,
,92529,,,,,2,20190829060250,,,,,6,3939236,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,
,92530,,,,,2,20190829060316,,,,,7,3939236,,,,,,,,,,,,,,,,,,,,,,,,,,,8,500,1,
,92531,,,,,2,20190829060324,,,,,8,3939236,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.5,1,
,92532,,,,,2,20190829060330,,,,,9,3939236,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2000,1,
,92533,,,,,2,20190829060337,,,,,10,3939236,,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,1,
,92534,,,,,,,,,20190829060345,submitted,,3939236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157.51.90.75,92535,,random,,,,,,,,,,1684470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92536,,random,,,,,,,,,,1684470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92537,,,,,2,20190829060018,,,,,1,1684470,,,,,,,,,,,,,,,,,,,,,,,,,,,7,470,1,
,92538,,,,,2,20190829060144,,,,,2,1684470,,,,,,,,,,,,,,,,,,,,,,,,,,,6,450,1,
,92539,,,,,2,20190829060220,,,,,3,1684470,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,
,92540,,,,,2,20190829060253,,,,,4,1684470,,,,,,,,,,,,,,,,,,,,,,,,,,,8,640,1,
,92541,,,,,2,20190829060305,,,,,5,1684470,,,,,,,,,,,,,,,,,,,,,,,,,,,10,400,1,
,92542,,,,,2,20190829060322,,,,,6,1684470,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,
,92543,,,,,2,20190829060329,,,,,7,1684470,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,1,
,92544,,,,,2,20190829060415,,,,,8,1684470,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,
,92545,,,,,2,20190829060431,,,,,9,1684470,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,
,92546,,,,,2,20190829060436,,,,,10,1684470,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3000,1,
,92547,,,,,,,,,20190829060503,submitted,,1684470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.93.104.51,92548,,random,,,,,,,,,,3406575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92549,,random,,,,,,,,,,3406575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92550,,,,,2,20190829060051,,,,,1,3406575,,,,,,,,,,,,,,,,,,,,,,,,,,,8,200,1,
,92551,,,,,2,20190829060111,,,,,2,3406575,,,,,,,,,,,,,,,,,,,,,,,,,,,9,300,1,
,92552,,,,,2,20190829060121,,,,,3,3406575,,,,,,,,,,,,,,,,,,,,,,,,,,,7,500,1,
,92553,,,,,2,20190829060131,,,,,4,3406575,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,
,92554,,,,,2,20190829060148,,,,,5,3406575,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,
,92555,,,,,2,20190829060232,,,,,6,3406575,,,,,,,,,,,,,,,,,,,,,,,,,,,6,200,1,
,92556,,,,,2,20190829060238,,,,,7,3406575,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,
,92557,,,,,2,20190829060354,,,,,8,3406575,,,,,,,,,,,,,,,,,,,,,,,,,,,10,250,1,
,92558,,,,,2,20190829060406,,,,,9,3406575,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,
,92559,,,,,2,20190829060415,,,,,10,3406575,,,,,,,,,,,,,,,,,,,,,,,,,,,5,25,1,
,92560,,,,,,,,,20190829060512,submitted,,3406575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157.51.219.87,92561,,random,,,,,,,,,,6003734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92562,,random,,,,,,,,,,6003734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92563,,,,,2,20190829060026,,,,,1,6003734,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.1,1,
,92564,,,,,2,20190829060118,,,,,2,6003734,,,,,,,,,,,,,,,,,,,,,,,,,,,7,150,1,
,92565,,,,,2,20190829060137,,,,,3,6003734,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.1,1,
,92566,,,,,2,20190829060223,,,,,4,6003734,,,,,,,,,,,,,,,,,,,,,,,,,,,8,450,1,
,92567,,,,,2,20190829060246,,,,,5,6003734,,,,,,,,,,,,,,,,,,,,,,,,,,,6,190,1,
,92568,,,,,2,20190829060302,,,,,6,6003734,,,,,,,,,,,,,,,,,,,,,,,,,,,5,40,1,
,92569,,,,,2,20190829060413,,,,,7,6003734,,,,,,,,,,,,,,,,,,,,,,,,,,,10,150,1,
,92570,,,,,2,20190829060430,,,,,8,6003734,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.1,1,
,92571,,,,,2,20190829060441,,,,,9,6003734,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.1,1,
,92572,,,,,2,20190829060451,,,,,10,6003734,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1400,1,
,92573,,,,,,,,,20190829060524,submitted,,6003734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157.50.86.100,92574,,random,,,,,,,,,,1180853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92575,,random,,,,,,,,,,1180853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92576,,,,,2,20190829060119,,,,,1,1180853,,,,,,,,,,,,,,,,,,,,,,,,,,,7,238,1,
,92577,,,,,2,20190829060214,,,,,2,1180853,,,,,,,,,,,,,,,,,,,,,,,,,,,9,600,1,
,92578,,,,,2,20190829060237,,,,,3,1180853,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,
,92579,,,,,2,20190829060307,,,,,4,1180853,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,
,92580,,,,,2,20190829060313,,,,,5,1180853,,,,,,,,,,,,,,,,,,,,,,,,,,,6,158,1,
,92581,,,,,2,20190829060323,,,,,6,1180853,,,,,,,,,,,,,,,,,,,,,,,,,,,5,42,1,
,92582,,,,,2,20190829060444,,,,,7,1180853,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,
,92583,,,,,2,20190829060452,,,,,8,1180853,,,,,,,,,,,,,,,,,,,,,,,,,,,8,241,1,
,92584,,,,,2,20190829060501,,,,,9,1180853,,,,,,,,,,,,,,,,,,,,,,,,,,,10,152,1,
,92585,,,,,2,20190829060510,,,,,10,1180853,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,
,92586,,,,,,,,,20190829060525,submitted,,1180853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.93.104.51,92587,,random,,,,,,,,,,8032871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92588,,random,,,,,,,,,,8032871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92589,,,,,2,20190829060457,,,,,1,8032871,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,
,92590,,,,,2,20190829060505,,,,,2,8032871,,,,,,,,,,,,,,,,,,,,,,,,,,,9,580,1,
,92591,,,,,2,20190829060510,,,,,3,8032871,,,,,,,,,,,,,,,,,,,,,,,,,,,7,350,1,
,92592,,,,,2,20190829060514,,,,,4,8032871,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,
,92593,,,,,2,20190829060521,,,,,5,8032871,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,
,92594,,,,,2,20190829060525,,,,,6,8032871,,,,,,,,,,,,,,,,,,,,,,,,,,,6,120,1,
,92595,,,,,2,20190829060530,,,,,7,8032871,,,,,,,,,,,,,,,,,,,,,,,,,,,8,90,1,
,92596,,,,,2,20190829060538,,,,,8,8032871,,,,,,,,,,,,,,,,,,,,,,,,,,,5,25,1,
,92597,,,,,2,20190829060547,,,,,9,8032871,,,,,,,,,,,,,,,,,,,,,,,,,,,10,65,1,
,92598,,,,,2,20190829060552,,,,,10,8032871,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,
,92599,,,,,,,,,20190829060612,submitted,,8032871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.205.79.24,92600,,random,,,,,,,,,,1236580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92601,,random,,,,,,,,,,1236580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92602,,,,,2,20190829060025,,,,,1,1236580,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.5,1,
,92603,,,,,2,20190829060328,,,,,2,1236580,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.4,1,
,92604,,,,,2,20190829060336,,,,,3,1236580,,,,,,,,,,,,,,,,,,,,,,,,,,,7,89,1,
,92605,,,,,2,20190829060405,,,,,4,1236580,,,,,,,,,,,,,,,,,,,,,,,,,,,8,104,1,
,92606,,,,,2,20190829060418,,,,,5,1236580,,,,,,,,,,,,,,,,,,,,,,,,,,,6,123,1,
,92607,,,,,2,20190829060430,,,,,6,1236580,,,,,,,,,,,,,,,,,,,,,,,,,,,10,78,1,
,92608,,,,,2,20190829060440,,,,,7,1236580,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,1,
,92609,,,,,2,20190829060454,,,,,8,1236580,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.7,1,
